Ratio,0,30,45,60,90,,Average,Weighted Average
0,0.9250889,0.9181346,0.905248,0.8362425,0,,0.8961785,0.8927646103
0.001,0.8963,0.898923202,0.886438582,0.837540932,0,,0.879800679,
0.01,0.8963,0.898586105,0.887400845,0.837431115,0,,0.8799295163,
0.02,0.8963,0.897344593,0.886745745,0.839249762,0,,0.879910025,
0.03,0.8963,0.898127417,0.885049146,0.838370983,0,,0.8794618865,
0.04,0.8963,0.897844519,0.884766839,0.847038773,0,,0.8814875328,
0.05,0.8963,0.900633817,0.884543568,0.846383933,0,,0.8819653295,
0.06,0.8963,0.899252585,0.885368127,0.84770976,0,,0.882157618,
0.07,0.8963,0.897641026,0.884611394,0.84751773,0,,0.8815175375,
0.08,0.8962,0.895557607,0.883887734,0.847931742,0,,0.8808942708,
0.09,0.8962,0.896470347,0.886370725,0.845463394,0,,0.8811261165,
0.1,0.8962,0.897998974,0.885276649,0.845761424,0,,0.8813092618,
0.15,0.8962,0.895826893,0.890304243,0.8514927,0,,0.883455959,
0.2,0.8957,0.898748578,0.885807676,0.855438984,0,,0.8839238095,
0.25,0.8988,0.896469367,0.887308885,0.867892789,0,,0.8876177603,0.8900199762
0.27,0.8997,0.89955241,0.888045338,0.866959558,0,,0.8885643265,0.8916824475
0.28,0.9002,0.901081756,0.889341626,0.866290868,0,,0.8892285625,0.892251359
0.29,0.9039,0.89768119,0.890479752,0.85870183,0,,0.887690693,0.8874814979
0.3,0.916145938,0.899719422,0.88915145,0.863507217,0,,0.8921310068,0.8929135676
0.31,0.9126,0.898643006,0.890007497,0.861919434,0,,0.8907924843,0.8908525645
0.32,0.9121,0.900929116,0.891854234,0.855578371,0,,0.8901154303,0.8894681033
0.33,0.91,0.90172144,0.895499946,0.852981651,0,,0.8900507593,0.8879238584
0.34,0.9105,0.905585661,0.893568889,0.855648776,0,,0.8913258315,0.8919472671
0.35,0.9073,0.90847493,0.89141932,0.851732844,0,,0.8897317735,0.8922474894
0.4,0.9103,0.908595388,0.882939519,0.837174464,0,,0.8847523428,0.8889129956
0.43,0.920647963,0.908889825,0.884945186,0.846171775,0,,0.8901636873,0.8938390903
0.44,0.924237068,0.90669907,0.881713416,0.843353878,0,,0.889000858,0.8925467041
0.45,0.928785705,0.907612712,0.886524823,0.837945591,0,,0.8902172078,0.8908487293
0.46,0.929639959,0.906127633,0.886957472,0.837799883,0,,0.8901312368,0.889871422
0.47,0.930345091,0.907793169,0.889777583,0.827401097,0,,0.888829235,0.8865237937
0.48,0.930226636,0.906689211,0.887568757,0.835747664,0,,0.890058067,0.8894251376
0.49,0.92915601,0.90639197,0.887325492,0.826331188,0,,0.887301165,0.8854899002
0.5,0.92398568,0.905567227,0.885256549,0.826548264,0,,0.88533943,0.8846060311
0.51,0.920258621,0.906017011,0.884636294,0.821746674,0,,0.88316465,
0.52,0.92137209,0.906638567,0.87953382,0.815810733,0,,0.8808388025,
0.53,0.91840892,0.904541144,0.876851045,0.815058987,0,,0.878715024,
0.54,0.918837339,0.901952507,0.879415613,0.810324826,0,,0.8776325713,
0.55,0.917513115,0.90452527,0.880301705,0.806507642,0,,0.877211933,
0.56,0.91588496,0.905294242,0.881838074,0.80497443,0,,0.8769979265,
0.57,0.915193257,0.906067987,0.880100645,0.805471125,0,,0.8767082535,
0.58,0.914512518,0.904318374,0.880087527,0.802938433,0,,0.875464213,
0.59,0.912,0.903945837,0.87772543,0.802519538,0,,0.8740477013,
0.6,0.913463603,0.903536637,0.875878735,0.798624067,0,,0.8728757605,
0.61,0.915110539,0.902609803,0.874179431,0.801654819,0,,0.873388648,
0.62,0.916146689,0.906706156,0.874657609,0.795523432,0,,0.8732584715,
0.63,0.91493709,0.902563016,0.875558949,0.793549138,0,,0.8716520483,
0.64,0.915296141,0.899247004,0.870297463,0.791990714,0,,0.8692078305,
0.65,0.914691943,0.899067994,0.871119886,0.796313579,0,,0.8702983505,
0.66,0.913874635,0.899152542,0.869913349,0.787132181,0,,0.8675181768,
0.67,0.913150601,0.898931104,0.865691343,0.784510997,0,,0.8655710113,
0.68,0.9148346,0.900021182,0.867253715,0.781399696,0,,0.8658772983,
0.69,0.913490814,0.900402202,0.865502855,0.77971864,0,,0.8647786278,
0.7,0.914147775,0.89695749,0.861080485,0.769339124,0,,0.8603812185,
0.71,0.912002456,0.901400976,0.85867285,0.768003753,0,,0.8600200088,
0.72,0.914599686,0.898134407,0.857000883,0.770343368,0,,0.860019586,
0.73,0.912811945,0.89456395,0.855692851,0.759962494,0,,0.85575781,
0.74,0.914476429,0.891428571,0.852908649,0.75862069,0,,0.8543585848,
0.75,0.912632336,0.893682425,0.851312278,0.754885802,0,,0.8531282103,
0.76,0.913168429,0.896168501,0.845319761,0.750736594,0,,0.8513483213,
0.77,0.911346445,0.898546111,0.843653251,0.748380257,0,,0.850481516,
0.78,0.910956837,0.892603205,0.841772853,0.742517087,0,,0.8469624955,
0.79,0.911907655,0.891650733,0.844821845,0.735394783,0,,0.845943754,
0.8,0.91161667,0.893490496,0.844279544,0.735332464,0,,0.8461797935,
0.9,0.9088,0.887203589,0.816208394,0.678255745,0,,0.822616932,
1,0.9023,0.86698821,0.793237682,0.633472305,0,,0.7989995493,
1.5,0.8669,0.772559653,0.620592224,0.440766976,0,,0.6752047133,
2,0.817,0.659597846,0.493461405,0.304440275,0,,0.5686248815,
,0.930345091,0.908889825,0.895499946,0.867892789,,,,