Ratio,0,30,45,60,90,,Average,Weighted Average,,Angle,Insolation
0,0.9250889,0.9181346,0.905248,0.8362425,0,,0.8961785,0.8927646103,,82,10
0.01,0.8913,0.889363433,0.879262388,0.83588876,0,,0.8739536453,,,65,620
0.02,0.8913,0.888685389,0.879516828,0.83895884,0,,0.8746152643,,,48,820
0.03,0.8913,0.891083062,0.880243852,0.837241379,0,,0.8749670733,,,33,900
0.04,0.8913,0.890032613,0.880434783,0.848881789,0,,0.8776622963,,,17,940
0.05,0.8913,0.892405063,0.879285269,0.846350559,0,,0.8773352228,,,0,950
0.06,0.8913,0.890171639,0.880474358,0.843472683,0,,0.87635467,,,17,940
0.07,0.8913,0.889025389,0.880012466,0.842506169,0,,0.875711006,,,33,900
0.08,0.8913,0.888376856,0.87984132,0.840430108,0,,0.874987071,,,48,820
0.09,0.8913,0.887078594,0.880564263,0.841198018,0,,0.8750352188,,,65,620
0.1,0.8913,0.885734782,0.882075965,0.845606469,0,,0.876179304,,,82,10
0.11,0.8913,0.886062968,0.880146674,0.852076125,0,,0.8773964418,,,,
0.12,0.8913,0.884745763,0.880189175,0.856277056,0,,0.8781279985,,,,
0.13,0.8882,0.884639112,0.878297425,0.861325786,0,,0.8781155808,,,,
0.14,0.8908,0.885576231,0.877340627,0.874400349,0,,0.8820293018,0.8860641082,,,
0.15,0.8862,0.894780191,0.87557846,0.874222077,0,,0.882695182,,,,
0.16,0.8873,0.895284185,0.87739625,0.868143923,0,,0.8820310895,,,,
0.17,0.8876,0.89317385,0.879704797,0.866959385,0,,0.881859508,,,,
0.18,0.8876,0.894910705,0.880678824,0.868693545,0,,0.8829707685,,,,
0.19,0.8868,0.894030159,0.891538299,0.862331641,0,,0.8836750248,,,,
0.2,0.8861,0.893038171,0.899112614,0.861916841,0,,0.8850419065,,,,
0.21,0.8848,0.892031914,0.903488372,0.866850829,0,,0.8867927788,,,,
0.22,0.8862,0.892734998,0.900594732,0.866039823,0,,0.8863923883,,,,
0.23,0.8861,0.893813577,0.898546111,0.867612557,0,,0.8865180613,,,,
0.24,0.8856,0.892897875,0.895490716,0.867128956,0,,0.8852793868,,,,
0.25,0.8871,0.891001663,0.897258819,0.866450965,0,,0.8854528618,,,,
0.3,0.9087,0.902953146,0.896163738,0.848872777,0,,0.8891724153,0.8868109159,,,
0.35,0.906,0.899717366,0.886540962,0.849462366,0,,0.8854301735,,,,
0.4,0.9042,0.899053628,0.880616453,0.840253749,0,,0.8810309575,,,,
0.45,0.918655346,0.89919865,0.882423581,0.834894614,0,,0.8837930478,0.8833344061,,,
0.5,0.924770876,0.900021137,0.879610145,0.826983941,0,,0.8828465248,0.8823889587,,,
0.51,0.924114459,0.901615117,0.882006543,0.827149113,0,,0.883721308,0.8829136823,,,
0.52,0.931693989,0.898077736,0.882160749,0.828709566,0,,0.88516051,0.8823919892,,,
0.53,0.929383603,0.900800337,0.880222537,0.825786381,0,,0.8840482145,0.8830662486,,,
0.54,0.9271158,0.901820478,0.87924282,0.826011761,0,,0.8835477148,0.8836490059,,,
0.55,0.927907273,0.90256734,0.879244459,0.817594835,0,,0.8818284768,0.8810353393,,,
0.56,0.928980387,0.902547299,0.875068373,0.817634807,0,,0.8810577165,0.8820434718,,,
0.57,0.927592955,0.899767393,0.873157952,0.818601964,0,,0.879780066,0.8807475843,,,
0.58,0.925707405,0.900390007,0.875313625,0.814776275,0,,0.879046828,0.8789518389,,,
0.59,0.926601373,0.903120388,0.87400545,0.810278967,0,,0.8785015445,0.8794210758,,,
0.6,0.922633838,0.904505645,0.876661582,0.811673242,0,,0.8788685768,0.8796920494,,,
0.61,0.927768658,0.900834301,0.871344391,0.80858924,0,,0.8771341475,,,,
0.62,0.92665655,0.903618282,0.872761031,0.802086957,0,,0.876280705,,,,
0.63,0.926446386,0.90444046,0.870036101,0.795362319,0,,0.8740713165,,,,
0.64,0.924469021,0.903215604,0.868818381,0.793103448,0,,0.8724016135,,,,
0.65,0.923339012,0.899714979,0.870155463,0.788537093,0,,0.8704366368,,,,
0.66,0.921187194,0.897131972,0.864776087,0.786225196,0,,0.8673301123,,,,
0.67,0.919187507,0.900453922,0.864551422,0.776990945,0,,0.865295949,,,,
0.68,0.916546922,0.899778224,0.861695138,0.776280637,0,,0.8635752303,,,,
0.69,0.915994252,0.899240346,0.860977213,0.77092511,0,,0.8617842303,,,,
0.7071067812,0.91270443,0.897857446,0.855159598,0.767890335,0,,0.8584029523,,,,
0.71,0.913090594,0.895490716,0.85592199,0.766172038,0,,0.8576688345,,,,
0.72,0.912238935,0.892967337,0.850898335,0.759860384,0,,0.8539912478,,,,
0.73,0.914041355,0.895038776,0.848030635,0.753488372,0,,0.8526497845,,,,
0.74,0.915733391,0.892458249,0.847039474,0.75536979,0,,0.852650226,,,,
0.75,0.914211438,0.88832109,0.843681679,0.74704656,0,,0.8483151918,,,,
0.8,0.9057,0.885186757,0.832582665,0.713637421,0,,0.8342767108,,,,
0.9,0.9041,0.868415418,0.799116022,0.655296857,0,,0.8067320743,,,,
1,0.8957,0.852739726,0.772676991,0.598499062,0,,0.7799039448,,,,
1.1,0.8884,0.828797943,0.729663744,0.552995392,0,,0.7499642698,,,,
1.5,0.8435,0.723479948,0.568079856,0.403915446,0,,0.6347438125,,,,
2,0.771,0.588158751,0.431114639,0.254387041,0,,0.5111651078,,,,
,0.931693989,0.904505645,0.903488372,0.874400349,,,,,,,